222077	   45.8	  209.1	  578.0	...
222078	   45.4	  208.3	  577.0	...
222079	   45.2	  207.3	  578.0	...
222080	   45.9	  206.3	  579.0	...
222081	   46.5	  206.3	  579.0	...
222082	   47.2	  206.5	  580.0	...
222083	   47.2	  206.5	  580.0	...
222084	   47.3	  206.4	  580.0	...
222085	   47.3	  206.4	  580.0	...
222086	   46.7	  206.3	  580.0	...
222087	   45.9	  206.1	  579.0	...
222088	   44.7	  205.8	  579.0	...
222089	   44.0	  205.5	  579.0	...
222090	   43.6	  205.5	  580.0	...
222091	   43.6	  205.6	  582.0	...
222092	   43.7	  205.3	  582.0	...
222093	   43.9	  204.7	  582.0	...
222094	   44.2	  204.1	  581.0	...
222095	   44.7	  204.6	  579.0	...
222096	   45.1	  205.4	  578.0	...
222097	   45.4	  206.8	  578.0	...
222098	   45.2	  207.4	  579.0	...
222099	   45.2	  207.1	  580.0	...
222100	   46.0	  206.4	  582.0	...
222101	   47.6	  205.9	  582.0	...
222102	   49.0	  206.2	  582.0	...
222103	   49.6	  206.5	  582.0	...
222104	   49.6	  206.7	  581.0	...
222105	   49.6	  207.7	  580.0	...
222106	   49.5	  208.6	  581.0	...
222107	   48.8	  209.2	  581.0	...
222108	   48.1	  208.8	  582.0	...
222109	   47.5	  208.4	  582.0	...
222110	   47.5	  208.4	  582.0	...
222111	   47.7	  208.5	  582.0	...
222112	   48.1	  208.3	  582.0	...
222113	   48.6	  206.9	  582.0	...
222114	   49.1	  205.5	  582.0	...
222115	   49.1	  205.5	  582.0	...
222116	   49.0	  206.6	  582.0	...
222117	   48.9	  207.6	  582.0	...
222118	   48.8	  207.6	  581.0	...
222119	   48.7	  207.5	  581.0	...
222120	   48.6	  207.1	  580.0	...
222121	   49.0	  206.9	  580.0	...
222122	   49.5	  206.6	  580.0	...
222123	   49.9	  206.1	  580.0	...
222124	   49.7	  205.5	  582.0	...
222125	   49.5	  205.3	  584.0	...
222126	   49.4	  205.5	  585.0	...
222127	   49.2	  205.7	  585.0	...
222128	   48.9	  206.0	  585.0	...
222129	   48.7	  206.5	  585.0	...
222130	   48.9	  206.9	  585.0	...
222131	   49.3	  206.8	  585.0	...
222132	   49.9	  205.8	  586.0	...
EFIX R   221853	222132	280	   45.5	  206.8	    573
SSACC R  222133
222133	   50.3	  204.9	  586.0	...
222134	   49.8	  204.3	  587.0	...
222135	   48.9	  204.4	  586.0	...
222136	   47.6	  205.5	  586.0	...
222137	   46.7	  208.1	  586.0	...
222138	   48.5	  211.5	  586.0	...
222139	   51.6	  214.5	  587.0	...
222140	   58.2	  216.3	  588.0	...
222141	   66.1	  217.7	  590.0	...
222142	   76.8	  221.7	  593.0	...
222143	   88.0	  226.7	  597.0	...
222144	   99.2	  234.0	  600.0	...
222145	  113.9	  241.7	  604.0	...
222146	  130.2	  251.1	  608.0	...
222147	  148.1	  260.5	  610.0	...
222148	  165.0	  269.1	  613.0	...
222149	  181.7	  276.1	  613.0	...
222150	  198.7	  281.8	  614.0	...
222151	  215.0	  285.7	  617.0	...
222152	  231.0	  290.3	  621.0	...
222153	  248.6	  293.9	  622.0	...
222154	  265.5	  298.4	  622.0	...
222155	  285.1	  302.1	  622.0	...
